District,Village,Latitude,Longitude,Cultivable Area (ha),Rice Cultivation Area (ha),Wheat Cultivation Area (ha),Avg Yield per ha (Rice),Avg Yield per ha (Wheat),Total Harvested Waste (Rice) (tons),Total Harvested Waste (Wheat) (tons),Total Harvested Waste (tons)
Karnal,Village_Karnal_1,29.008967055410825,76.99384457980021,1373.3124738151475,679.5723688944768,267.12499820171206,2.581163639135248,3.199115062451115,150.85960630440763,40.08966879082863,190.94927509523626
Karnal,Village_Karnal_2,29.023033689195803,76.97526558695554,1081.0392927753032,342.3028755568769,251.44399258711155,4.036593652446532,2.8297431495096257,64.2943775737155,50.41069893794445,114.70507651165994
Karnal,Village_Karnal_3,29.01996323980146,77.00972138347288,906.4669373231625,424.1774773805879,327.43624363759744,3.567271645787592,3.6587708902247362,91.00715770166907,36.00666580134237,127.01382350301145
Karnal,Village_Karnal_4,29.012359501247165,76.97623268065428,1074.2888039166342,475.5153458548269,241.4303439260633,4.220945962078988,3.7113758392576965,79.89540057615085,55.10418645062438,134.99958702677523
Karnal,Village_Karnal_5,28.98008457394366,76.98130287227603,602.4039494266638,225.39195238324402,256.9159558999703,4.275178483222101,3.898304316525063,62.17672008332723,33.66061246597032,95.83733254929754
Karnal,Village_Karnal_6,28.97881191472657,77.01294101102253,1051.0331381747283,373.8099771816069,310.4958487577748,2.9120923017275917,2.769909177341878,70.8519166016506,59.1634213597505,130.0153379614011
Karnal,Village_Karnal_7,29.010633327946525,76.97791116815668,777.2936365605397,210.59470118663407,252.44645799515706,3.2590151194545474,2.574924414295271,36.80486186115872,53.298687346979946,90.10354920813867
Karnal,Village_Karnal_8,28.975152220842958,77.01776964462533,1116.0923038770343,323.682198782497,509.22659905302567,3.0255246742254602,3.9467234619703637,69.49030495578494,132.2224610129957,201.71276596878062
Karnal,Village_Karnal_9,28.996206780729604,76.9811666231222,1218.3968227641317,456.48214798276996,382.97208533221783,3.5177438914719055,2.8565895059147914,50.21843927281813,112.06869871452831,162.28713798734645
Karnal,Village_Karnal_10,28.98482173410089,77.003540411166,902.559256965752,439.47787790745883,364.20727115322904,3.4787604583673284,3.2748289084331024,76.28068064423542,69.15900043322748,145.4396810774629
Karnal,Village_Karnal_11,28.991688313370087,76.97514220737371,1102.0197410870167,227.7639093493195,227.16352817302808,4.283386558635251,2.889140029559015,35.45069881178296,47.2818203205978,82.73251913238076
Karnal,Village_Karnal_12,28.984136886257108,77.00823731499881,856.1990564280485,341.3107904405263,254.56833797973567,2.675661371196859,3.0926879437542363,37.97770230709441,33.77379517185794,71.75149747895236
Karnal,Village_Karnal_13,28.991258219110442,77.01443933023369,1091.2524779767045,273.24578236333895,414.21332641052777,2.9589959167332425,2.6683102592498367,37.00934550377706,66.97961182635412,103.98895733013117
Karnal,Village_Karnal_14,28.976261969449972,76.97582350301077,1091.1550252541406,426.38972268652105,340.782523447921,4.144414993276471,3.6338183399591792,66.859861860728,92.1718256309286,159.0316874916566
Karnal,Village_Karnal_15,28.98968941363532,76.99368978385421,533.1346951993885,213.78068056783067,238.87613083908272,4.396819571700443,2.979157330514441,30.736197173278143,36.550281596119774,67.28647876939792
